"Gene","Length","RPF","mRNA","uATG","Chromosome","Size"
"YJR070C",325,536.29,335.57,TRUE,"Chr-9",0.54
"YJR072C",385,142.03,120.29,FALSE,"Chr-7",0.5
"YJR073C",206,87.09,78.6,TRUE,"Chr-11",0.62
"YJR074W",218,62.5,59.83,FALSE,"Chr-11",0.51
"YJR075W",396,127.34,157.34,TRUE,"Chr-4",0.54
"YJR076C",415,129.67,112.66,TRUE,"Chr-1",0.74
"YJR077C",311,275.22,244.81,TRUE,"Chr-12",0.55
"YJR078W",453,8.28,7.39,FALSE,"Chr-14",0.8
"YJR080C",394,38.41,52.59,FALSE,"Chr-8",0.71
"YJR082C",113,55.79,66.2,TRUE,"Chr-1",0.72
"YJR083C",309,21.11,17.68,TRUE,"Chr-1",0.7
"YJR084W",423,19.73,29.44,FALSE,"Chr-12",0.78
"YJR085C",105,515.05,253.58,TRUE,"Chr-6",0.56
"YJR086W",110,145.48,110.96,TRUE,"Chr-4",0.62
"YJR088C",292,146.84,118.49,TRUE,"Chr-16",0.77
"YJR089W",954,8.4,26,FALSE,"Chr-13",0.57
"YJR090C",1151,15.65,49.39,FALSE,"Chr-14",0.77
"YJR091C",1091,26.16,63.47,FALSE,"Chr-11",0.66
"YJR092W",1447,51.98,81.7,FALSE,"Chr-5",0.75
"YJR093C",327,40.99,34.47,TRUE,"Chr-4",0.8
"YJR094C",360,9.07,9.02,FALSE,"Chr-4",0.61
"YJR094WA",92,4449.78,3200.06,TRUE,"Chr-10",0.54
"YJR096W",282,38.83,48.17,FALSE,"Chr-9",0.68
"YJR097W",172,39.74,30.04,TRUE,"Chr-16",0.79
"YJR098C",656,8.23,11.93,FALSE,"Chr-3",0.5
"YJR099W",236,47.69,44.42,FALSE,"Chr-16",0.64
"YJR100C",327,22.83,38.53,TRUE,"Chr-9",0.76
"YJR101W",266,54.54,65.13,FALSE,"Chr-1",0.65
"YJR102C",202,26.97,23.39,FALSE,"Chr-8",0.54
"YJR103W",578,54.55,59.77,FALSE,"Chr-9",0.73
"YJR104C",154,3315.26,1812.33,TRUE,"Chr-15",0.74
"YJR105W",340,922.14,645.59,TRUE,"Chr-10",0.79
"YJR106W",725,5.23,15.41,FALSE,"Chr-11",0.54
"YJR109C",1118,101.6,105.56,FALSE,"Chr-2",0.58
"YJR110W",688,8.84,23.53,FALSE,"Chr-7",0.78
"YJR111C",283,23.21,20.87,FALSE,"Chr-7",0.72
"YJR112W",201,30.91,39.18,TRUE,"Chr-11",0.65
"YJR112WA",109,25.62,33.41,FALSE,"Chr-3",0.53
"YJR113C",247,53.12,73.32,FALSE,"Chr-6",0.74
"YJR116W",279,23.2,28.22,FALSE,"Chr-5",0.64
"YJR117W",453,133.76,154.71,TRUE,"Chr-9",0.7
"YJR118C",203,105.96,85.34,TRUE,"Chr-12",0.8
"YJR119C",728,4.27,8.79,TRUE,"Chr-13",0.76
"YJR120W",116,11.23,84.43,FALSE,"Chr-7",0.7
"YJR121W",511,488.03,634.21,FALSE,"Chr-6",0.59
"YJR122W",497,10.46,21.98,FALSE,"Chr-1",0.6
"YJR123W",225,9084.91,6518.28,TRUE,"Chr-10",0.68
"YJR124C",448,43.08,57.23,FALSE,"Chr-3",0.79
"YJR125C",408,136.08,83.96,TRUE,"Chr-14",0.7
"YJR126C",811,24.4,60.81,FALSE,"Chr-2",0.78
"YJR127C",1380,6.89,31.13,FALSE,"Chr-8",0.71
"YJR129C",339,17.09,25.26,TRUE,"Chr-5",0.5
"YJR130C",639,9.38,20.64,TRUE,"Chr-10",0.59
"YJR131W",549,39.87,44.64,FALSE,"Chr-11",0.55
"YJR132W",1048,42.43,77.02,TRUE,"Chr-12",0.7
"YJR133W",209,99.48,82.89,FALSE,"Chr-13",0.64
"YJR135C",239,9.87,20.18,TRUE,"Chr-2",0.71
"YJR135WA",87,201.74,136.33,FALSE,"Chr-11",0.64
"YJR136C",421,11.82,22.56,FALSE,"Chr-4",0.5
"YJR137C",1442,33.66,74.74,TRUE,"Chr-9",0.62
"YJR138W",1584,8.73,28.24,FALSE,"Chr-2",0.55
"YJR139C",359,912.88,737.68,TRUE,"Chr-14",0.77
"YJR140C",1648,11.74,34.64,FALSE,"Chr-13",0.73
"YJR141W",347,7.69,24.54,FALSE,"Chr-7",0.56
"YJR142W",342,65.55,54.4,FALSE,"Chr-6",0.61
"YJR143C",762,148.4,287.67,FALSE,"Chr-11",0.72
"YJR144W",269,95.62,106.48,FALSE,"Chr-1",0.64
"YJR147W",358,12.63,72.17,TRUE,"Chr-16",0.72
"YJR148W",376,576.96,539.4,TRUE,"Chr-13",0.75
"YJR150C",298,5.87,3.47,FALSE,"Chr-6",0.59
"YKL001C",202,78.29,76.75,TRUE,"Chr-14",0.69
"YKL002W",232,86.15,85.28,TRUE,"Chr-13",0.69
"YKL003C",131,98.77,89.04,FALSE,"Chr-10",0.56
"YKL004W",401,63.26,147.77,FALSE,"Chr-14",0.79
"YKL005C",594,16.94,32.48,TRUE,"Chr-7",0.62
"YKL006CA",97,78.62,77.12,FALSE,"Chr-10",0.7
"YKL007W",268,157.09,133.14,TRUE,"Chr-7",0.73
"YKL008C",418,125.85,137.99,FALSE,"Chr-1",0.8
"YKL009W",236,304.13,185.81,TRUE,"Chr-2",0.65
"YKL010C",1483,37.8,64.95,FALSE,"Chr-10",0.52
"YKL011C",353,11.09,21.47,TRUE,"Chr-3",0.55
"YKL012W",583,18.18,39.42,TRUE,"Chr-6",0.76
"YKL013C",171,287.54,240.9,FALSE,"Chr-3",0.67
"YKL014C",1764,36.51,97.43,FALSE,"Chr-15",0.68
"YKL015W",979,7.76,45.09,TRUE,"Chr-1",0.77
"YKL016C",174,290.03,216.38,TRUE,"Chr-4",0.77
"YKL017C",683,8.95,15.06,TRUE,"Chr-12",0.76
"YKL018CA",99,72.77,19.39,FALSE,"Chr-5",0.63
"YKL018W",329,35.29,39.04,FALSE,"Chr-1",0.79
"YKL019W",316,43.39,72.27,FALSE,"Chr-9",0.66
"YKL020C",1082,21.78,40.53,TRUE,"Chr-14",0.63
"YKL021C",468,72.52,57.73,FALSE,"Chr-10",0.78
"YKL022C",840,18.89,34.86,FALSE,"Chr-15",0.59
"YKL023W",277,35.06,30.91,TRUE,"Chr-13",0.5
"YKL024C",204,315.57,269.96,FALSE,"Chr-16",0.62
"YKL025C",679,29.46,43.71,TRUE,"Chr-6",0.51
"YKL027W",447,38.69,46.35,TRUE,"Chr-14",0.61
"YKL028W",482,40.98,71.07,FALSE,"Chr-8",0.56
"YKL029C",669,171.17,176.85,TRUE,"Chr-12",0.7
"YKL032C",597,77.09,59.27,FALSE,"Chr-3",0.74
"YKL033W",1038,9.05,26.74,TRUE,"Chr-14",0.74
"YKL033WA",236,188.85,253.37,TRUE,"Chr-3",0.62
"YKL034W",758,19.39,28.05,TRUE,"Chr-13",0.77
"YKL035W",499,400.83,285.92,FALSE,"Chr-1",0.71
"YKL038W",1170,8.61,35.71,FALSE,"Chr-12",0.51
"YKL039W",523,128.34,154.8,TRUE,"Chr-9",0.58
"YKL040C",256,119.38,92.47,TRUE,"Chr-7",0.57
"YKL041W",224,63.26,19.55,FALSE,"Chr-15",0.69
"YKL042W",363,32.56,27.52,TRUE,"Chr-14",0.65
"YKL043W",366,26.06,59.03,FALSE,"Chr-11",0.6
"YKL045W",528,34.3,33.09,TRUE,"Chr-7",0.51
"YKL046C",449,105.4,96.46,FALSE,"Chr-10",0.7
"YKL047W",516,26.14,34.43,FALSE,"Chr-11",0.78
"YKL048C",640,6.92,22.99,FALSE,"Chr-12",0.62
"YKL049C",229,59.05,41.05,TRUE,"Chr-15",0.53
"YKL051W",353,10.76,13.11,FALSE,"Chr-3",0.78
"YKL052C",292,33.68,45.17,TRUE,"Chr-5",0.61
"YKL053CA",86,135.61,97.29,FALSE,"Chr-16",0.52
"YKL054C",738,520.12,281.42,TRUE,"Chr-11",0.51
"YKL055C",278,9.46,13.99,TRUE,"Chr-6",0.66
"YKL056C",167,5314.5,4567.29,TRUE,"Chr-4",0.69
"YKL057C",1037,40.92,80.59,TRUE,"Chr-3",0.53
"YKL058W",122,125.81,138.37,TRUE,"Chr-13",0.5
"YKL059C",441,27.55,32.59,TRUE,"Chr-14",0.61
"YKL060C",359,18446.9,15020.92,TRUE,"Chr-9",0.75
"YKL061W",113,29.93,23.52,FALSE,"Chr-15",0.73
"YKL062W",630,16.54,17.34,FALSE,"Chr-8",0.54
"YKL063C",167,129.35,81.63,TRUE,"Chr-5",0.51
"YKL064W",969,20.59,52.47,TRUE,"Chr-13",0.52
"YKL065C",206,171.85,172.49,TRUE,"Chr-1",0.59
"YKL067W",153,565.29,319.42,TRUE,"Chr-15",0.55
"YKL068W",959,45.46,76.47,TRUE,"Chr-2",0.67
"YKL068WA",78,141.96,83.29,TRUE,"Chr-9",0.55
"YKL069W",180,98.73,93.51,TRUE,"Chr-1",0.7
"YKL072W",766,11.67,26.54,FALSE,"Chr-1",0.76
"YKL073W",881,67.41,89.44,FALSE,"Chr-3",0.5
"YKL074C",527,23.78,26.9,FALSE,"Chr-4",0.51
"YKL075C",450,20.24,28,FALSE,"Chr-6",0.68
"YKL077W",392,233.82,216.32,TRUE,"Chr-5",0.71
"YKL078W",735,19.38,30.8,TRUE,"Chr-9",0.59
"YKL079W",656,23.04,38.79,TRUE,"Chr-3",0.65
"YKL080W",392,363.55,460.14,TRUE,"Chr-14",0.74
"YKL081W",412,2309.42,2121.39,TRUE,"Chr-5",0.8
"YKL082C",434,105.67,67.47,TRUE,"Chr-10",0.65
"YKL084W",116,69.65,62.37,TRUE,"Chr-13",0.74
"YKL085W",334,216.04,155.31,TRUE,"Chr-13",0.68
"YKL086W",127,9.39,5.43,FALSE,"Chr-8",0.53
"YKL087C",224,56.89,34.06,FALSE,"Chr-4",0.61
"YKL088W",571,37.56,30.34,TRUE,"Chr-14",0.71
"YKL089W",549,15.08,18.29,FALSE,"Chr-14",0.55
"YKL091C",310,26.08,27.94,FALSE,"Chr-3",0.67
"YKL092C",1104,11.58,31.83,TRUE,"Chr-13",0.56
"YKL094W",313,99.09,121.86,TRUE,"Chr-16",0.57
"YKL095W",278,22.14,16.29,TRUE,"Chr-3",0.77
"YKL096W",239,393.6,222.6,TRUE,"Chr-8",0.65
"YKL096WA",92,4879.65,2208.27,FALSE,"Chr-14",0.77
"YKL098W",357,12.23,30.19,TRUE,"Chr-10",0.69
"YKL099C",250,128.39,95.87,FALSE,"Chr-6",0.75
"YKL100C",587,52.55,88.29,TRUE,"Chr-6",0.62
"YKL101W",1518,26.11,69.74,TRUE,"Chr-13",0.6
"YKL103C",514,99.67,88.47,TRUE,"Chr-8",0.8
"YKL104C",717,199.55,228.44,TRUE,"Chr-10",0.66
"YKL105C",1132,13.83,22.61,FALSE,"Chr-3",0.7
"YKL106W",451,39.91,81.41,FALSE,"Chr-4",0.64
"YKL108W",453,14,23.25,TRUE,"Chr-6",0.54
"YKL109W",554,16.58,29.49,FALSE,"Chr-13",0.7
"YKL110C",313,52.43,60.38,TRUE,"Chr-1",0.77
"YKL112W",731,74.11,85.71,TRUE,"Chr-12",0.53
"YKL113C",382,64.2,77.56,TRUE,"Chr-5",0.8
"YKL114C",367,74.36,73.35,FALSE,"Chr-12",0.7
"YKL116C",518,16.41,30.97,FALSE,"Chr-10",0.65
"YKL117W",216,1072.94,391.44,TRUE,"Chr-5",0.67
"YKL119C",215,55.6,52.19,FALSE,"Chr-4",0.59
"YKL120W",324,239.41,212.35,TRUE,"Chr-10",0.51
"YKL121W",852,5.09,15.13,FALSE,"Chr-14",0.77
"YKL122C",167,150.65,109.04,TRUE,"Chr-14",0.5
"YKL124W",579,11.08,19.13,FALSE,"Chr-1",0.54
"YKL125W",627,29.88,43.41,TRUE,"Chr-16",0.56
"YKL126W",680,77.37,108.64,FALSE,"Chr-12",0.67
"YKL127W",570,181.87,160.17,TRUE,"Chr-9",0.62
"YKL128C",295,111.92,140.97,FALSE,"Chr-2",0.69
"YKL129C",1272,27.89,46.43,FALSE,"Chr-15",0.68
"YKL130C",246,63.21,57.22,FALSE,"Chr-11",0.67
"YKL133C",463,2.42,12.54,FALSE,"Chr-5",0.75
"YKL134C",772,14.03,27.03,TRUE,"Chr-2",0.74
"YKL135C",726,37.91,63.79,TRUE,"Chr-8",0.66
"YKL137W",111,128.88,82.91,FALSE,"Chr-9",0.52
"YKL138C",131,98.97,87.91,TRUE,"Chr-10",0.65
"YKL138CA",69,203.86,108.42,FALSE,"Chr-13",0.55
"YKL140W",548,35.6,47.42,FALSE,"Chr-11",0.5
"YKL141W",198,150.2,121.3,TRUE,"Chr-9",0.57
"YKL142W",219,336.79,213.94,FALSE,"Chr-5",0.53
"YKL143W",463,88.23,76.75,FALSE,"Chr-9",0.63
"YKL144C",212,69.22,59.66,FALSE,"Chr-4",0.68
"YKL145W",467,312.55,271.68,TRUE,"Chr-14",0.63
"YKL146W",692,28.58,43.03,TRUE,"Chr-12",0.6
"YKL148C",640,39.54,41.91,TRUE,"Chr-11",0.62
"YKL149C",405,16.8,26.25,FALSE,"Chr-15",0.59
"YKL150W",302,140.5,108.21,FALSE,"Chr-8",0.61
"YKL151C",337,50.24,42.5,FALSE,"Chr-10",0.62
"YKL152C",247,15019.33,11358.75,TRUE,"Chr-11",0.57
"YKL154W",244,84.31,95.4,FALSE,"Chr-9",0.52
"YKL155C",628,16.05,32.05,TRUE,"Chr-14",0.55
"YKL156W",82,2163.93,1097.14,FALSE,"Chr-15",0.52
"YKL157W",952,154.03,164.76,TRUE,"Chr-9",0.8
"YKL159C",211,19.84,18.89,TRUE,"Chr-15",0.64
"YKL160W",145,264.61,302.42,TRUE,"Chr-10",0.53
"YKL162C",402,5.72,7.22,FALSE,"Chr-2",0.8
"YKL165C",919,47.1,68.23,TRUE,"Chr-6",0.75
"YKL166C",398,42.63,48.84,TRUE,"Chr-1",0.68
"YKL167C",137,81.11,61.79,TRUE,"Chr-5",0.72
"YKL168C",724,9.91,20.53,TRUE,"Chr-16",0.72
"YKL170W",138,86.34,67.05,TRUE,"Chr-2",0.68
"YKL171W",928,4.59,20.63,TRUE,"Chr-8",0.68
"YKL172W",427,257.22,163.09,TRUE,"Chr-4",0.68
"YKL173W",1008,22.23,39.01,FALSE,"Chr-6",0.78
"YKL174C",618,25.05,41.57,TRUE,"Chr-14",0.51
"YKL175W",503,57.13,86,TRUE,"Chr-14",0.59
"YKL176C",828,7.93,68.71,TRUE,"Chr-15",0.75
"YKL178C",470,3.8,7.33,FALSE,"Chr-14",0.53
"YKL179C",679,41,68.93,FALSE,"Chr-12",0.67
"YKL180W",184,5204.66,3554.73,TRUE,"Chr-14",0.55
"YKL181W",427,226.07,292.29,FALSE,"Chr-8",0.59
"YKL182W",2051,660.07,1053.89,TRUE,"Chr-2",0.7
"YKL183W",306,35.83,40.37,FALSE,"Chr-4",0.61
"YKL184W",466,152.31,169.61,TRUE,"Chr-3",0.65
"YKL185W",588,49,66.04,FALSE,"Chr-5",0.53
"YKL186C",184,99.3,93.08,TRUE,"Chr-7",0.58
"YKL189W",399,19.94,20.48,TRUE,"Chr-2",0.76
"YKL190W",175,202.15,162.27,TRUE,"Chr-3",0.53
"YKL191W",534,59.02,125.99,TRUE,"Chr-11",0.54
"YKL192C",125,581.77,274.03,FALSE,"Chr-9",0.7
"YKL193C",338,56.93,48.05,TRUE,"Chr-5",0.5
"YKL194C",462,13.34,27.27,TRUE,"Chr-16",0.75
"YKL195W",403,118.5,142.39,TRUE,"Chr-15",0.76
"YKL196C",200,362.57,283.23,TRUE,"Chr-13",0.55
"YKL197C",1043,12.8,31.8,FALSE,"Chr-6",0.6
"YKL198C",662,11.22,32.41,FALSE,"Chr-14",0.5
"YKL201C",1178,4.16,15.29,FALSE,"Chr-4",0.6
"YKL203C",2474,10.54,44.66,FALSE,"Chr-2",0.56
"YKL204W",632,70.03,54.28,TRUE,"Chr-6",0.75
"YKL205W",1100,30.61,70.56,TRUE,"Chr-12",0.78
"YKL206C",267,55.04,62.67,TRUE,"Chr-14",0.76
"YKL207W",253,188.46,218.65,FALSE,"Chr-1",0.68
"YKL208W",271,19.05,22.34,FALSE,"Chr-14",0.69
"YKL209C",1290,81.8,168.06,FALSE,"Chr-9",0.68
"YKL210W",1024,469.09,449.33,TRUE,"Chr-14",0.54
"YKL211C",484,110.2,104.02,TRUE,"Chr-13",0.71
"YKL212W",623,227.22,234.15,FALSE,"Chr-8",0.65
"YKL213C",715,45.47,58.99,TRUE,"Chr-1",0.76
"YKL214C",203,97.6,77.1,FALSE,"Chr-1",0.6
"YKL215C",1286,45.95,60.12,TRUE,"Chr-15",0.61
"YKL216W",314,620.57,431.65,TRUE,"Chr-15",0.79
"YKL218C",326,18.68,22.8,FALSE,"Chr-13",0.61
"YKL219W",407,14.55,29.26,FALSE,"Chr-12",0.58
"YKL222C",705,1.07,12.01,FALSE,"Chr-13",0.63
"YKR001C",704,265.04,219.44,TRUE,"Chr-2",0.65
"YKR002W",568,44.77,54.76,FALSE,"Chr-6",0.54
"YKR003W",448,56.81,100.74,TRUE,"Chr-7",0.63
"YKR004C",377,7.03,18.54,FALSE,"Chr-4",0.68
"YKR006C",264,99.22,90.41,TRUE,"Chr-8",0.76
"YKR007W",184,47.29,60.18,FALSE,"Chr-6",0.7
"YKR008W",625,60.98,62.92,FALSE,"Chr-8",0.5
"YKR009C",900,2,5.47,FALSE,"Chr-1",0.74
"YKR010C",771,12.34,27.9,FALSE,"Chr-12",0.67
"YKR011C",353,51.47,31.37,TRUE,"Chr-6",0.77
"YKR013W",329,263.26,146.75,TRUE,"Chr-3",0.8
"YKR014C",234,246.84,121.99,TRUE,"Chr-14",0.8
"YKR016W",540,40.34,56.32,FALSE,"Chr-8",0.75
"YKR017C",551,6.6,14.38,TRUE,"Chr-12",0.75
"YKR018C",725,105.32,160.68,TRUE,"Chr-1",0.63
"YKR019C",615,8.25,15.92,TRUE,"Chr-6",0.75
"YKR020W",164,50.33,29.41,TRUE,"Chr-13",0.71
"YKR021W",915,10.27,23.72,FALSE,"Chr-12",0.63
"YKR022C",322,12.9,32.86,TRUE,"Chr-15",0.55
"YKR023W",530,22.36,19.59,FALSE,"Chr-15",0.5
"YKR024C",742,36.39,38.34,FALSE,"Chr-12",0.78
"YKR025W",282,104.15,69.29,TRUE,"Chr-12",0.51
"YKR026C",305,105.36,98.27,FALSE,"Chr-7",0.52
"YKR027W",765,12.04,27.92,FALSE,"Chr-16",0.59
"YKR028W",1033,32.34,91.71,FALSE,"Chr-7",0.71
"YKR029C",751,24.63,29.75,TRUE,"Chr-11",0.8
"YKR030W",273,41.89,45.97,TRUE,"Chr-11",0.64
"YKR031C",1683,12.75,39.86,TRUE,"Chr-14",0.52
"YKR035WA",204,128.37,77.92,TRUE,"Chr-15",0.63
"YKR036C",643,10.36,34.52,TRUE,"Chr-11",0.56
"YKR037C",295,24.99,33.03,TRUE,"Chr-5",0.52
"YKR038C",386,51.11,87.34,TRUE,"Chr-12",0.75
"YKR039W",602,9.38,13.82,FALSE,"Chr-13",0.71
"YKR041W",250,3.89,9.06,TRUE,"Chr-15",0.73
"YKR042W",365,1373.88,887.63,TRUE,"Chr-12",0.8
"YKR043C",271,416.74,217.75,FALSE,"Chr-14",0.53
"YKR044W",443,9.29,25.22,TRUE,"Chr-9",0.54
"YKR045C",183,26.13,27.7,FALSE,"Chr-7",0.68
"YKR046C",283,38.44,38.78,TRUE,"Chr-15",0.64
"YKR048C",417,272.28,274.76,TRUE,"Chr-1",0.72
"YKR049C",133,45.45,59.95,TRUE,"Chr-9",0.72
"YKR050W",889,0.72,29.67,TRUE,"Chr-6",0.61
"YKR051W",418,6.46,22.25,TRUE,"Chr-13",0.78
"YKR052C",304,31.03,43.55,FALSE,"Chr-11",0.7
"YKR054C",4092,4.89,43.12,FALSE,"Chr-11",0.74
"YKR055W",291,27.07,23.34,FALSE,"Chr-11",0.77
"YKR056W",639,48.56,55.22,FALSE,"Chr-3",0.67
"YKR057W",87,3038.53,2206.2,TRUE,"Chr-16",0.64
"YKR058W",616,1.43,9.75,TRUE,"Chr-11",0.54
"YKR060W",274,44.76,46.52,FALSE,"Chr-2",0.75
"YKR061W",425,2.24,14.82,FALSE,"Chr-1",0.5
"YKR062W",328,68.9,69.02,FALSE,"Chr-12",0.5
"YKR063C",502,13.54,27.35,FALSE,"Chr-5",0.58
"YKR064W",863,6.81,27.43,FALSE,"Chr-12",0.77
"YKR065C",197,170.89,129.91,FALSE,"Chr-6",0.69
"YKR066C",361,160.65,163.46,TRUE,"Chr-7",0.76
"YKR067W",743,33.53,55.04,TRUE,"Chr-1",0.61
"YKR068C",193,104.37,98.18,TRUE,"Chr-13",0.77
"YKR069W",593,4.22,16.76,FALSE,"Chr-9",0.68
"YKR070W",352,71.01,85.85,FALSE,"Chr-1",0.55
"YKR071C",348,160.52,123.6,TRUE,"Chr-12",0.65
"YKR072C",562,47.2,68.57,FALSE,"Chr-7",0.75
"YKR074W",155,147.76,137.49,FALSE,"Chr-13",0.65
"YKR075C",307,13.51,16.67,FALSE,"Chr-14",0.77
"YKR076W",370,14.18,21.28,FALSE,"Chr-1",0.55
"YKR077W",363,26.36,13.56,TRUE,"Chr-1",0.66
"YKR078W",585,9.44,17.33,FALSE,"Chr-3",0.77
"YKR079C",838,18.45,50.15,FALSE,"Chr-13",0.66
"YKR080W",320,154.77,159.49,TRUE,"Chr-4",0.72
"YKR081C",344,215.24,145.21,TRUE,"Chr-12",0.77
"YKR082W",1157,46.57,79.88,TRUE,"Chr-5",0.76
"YKR083C",133,45.79,41.81,FALSE,"Chr-2",0.57
"YKR084C",611,80.43,86.67,FALSE,"Chr-5",0.55
"YKR085C",195,97.32,115.59,TRUE,"Chr-8",0.78
"YKR086W",1071,8.35,27.39,FALSE,"Chr-9",0.75
"YKR087C",345,29.03,35.66,FALSE,"Chr-2",0.71
"YKR088C",337,51.91,67.47,TRUE,"Chr-11",0.71
"YKR089C",910,22.49,57.33,FALSE,"Chr-16",0.5
"YKR090W",706,25.09,36.39,FALSE,"Chr-2",0.58
"YKR091W",246,11.9,13.6,TRUE,"Chr-13",0.67
"YKR092C",406,293.31,223.29,TRUE,"Chr-8",0.55
"YKR093W",601,201.2,219.54,FALSE,"Chr-15",0.78
"YKR095W",1875,35,91.37,FALSE,"Chr-14",0.66
"YKR095WA",88,147.77,110.17,TRUE,"Chr-10",0.55
"YKR096W",1195,12.22,37.56,FALSE,"Chr-1",0.52
"YKR098C",717,3.3,14.83,FALSE,"Chr-7",0.54
"YKR099W",811,13.62,30.77,FALSE,"Chr-15",0.75
"YKR100C",355,35.92,60.17,FALSE,"Chr-11",0.76
"YKR101W",654,7.26,15.05,FALSE,"Chr-11",0.74
"YLL001W",757,50.27,53.44,FALSE,"Chr-14",0.67
"YLL002W",436,12.69,18.74,TRUE,"Chr-12",0.68
"YLL003W",946,3.85,21.12,FALSE,"Chr-8",0.62
"YLL004W",616,17.38,26.21,TRUE,"Chr-12",0.5
"YLL006W",426,29.76,46.44,FALSE,"Chr-16",0.53
"YLL007C",665,10.47,16.58,FALSE,"Chr-15",0.61
"YLL008W",752,105.66,102.75,FALSE,"Chr-7",0.7
"YLL009C",69,332.03,150.5,TRUE,"Chr-2",0.64
"YLL010C",427,48.02,53.36,TRUE,"Chr-3",0.8
"YLL011W",489,59.15,80.21,TRUE,"Chr-5",0.5
"YLL012W",573,27.04,41.14,FALSE,"Chr-9",0.62
"YLL013C",879,49.83,82.87,FALSE,"Chr-8",0.55
"YLL014W",108,206.07,193.67,TRUE,"Chr-14",0.8
"YLL015W",1559,19.19,43.34,FALSE,"Chr-1",0.58
"YLL018C",557,710,536.15,FALSE,"Chr-2",0.69
"YLL018CA",98,38.48,39.67,FALSE,"Chr-12",0.66
"YLL019C",737,11.58,33.72,TRUE,"Chr-7",0.64
"YLL021W",1466,57.66,78.29,TRUE,"Chr-8",0.52
"YLL022C",385,46.41,45.64,TRUE,"Chr-16",0.54
"YLL023C",279,86.94,66.86,TRUE,"Chr-12",0.54
"YLL026W",908,432.46,354.1,TRUE,"Chr-4",0.56
"YLL027W",250,63.86,57.68,FALSE,"Chr-7",0.51
"YLL028W",586,54.14,57.36,TRUE,"Chr-8",0.5
"YLL029W",749,62.09,103.42,TRUE,"Chr-2",0.65
"YLL031C",1017,36.22,65.38,TRUE,"Chr-8",0.5
"YLL032C",825,15.74,27.26,TRUE,"Chr-6",0.55
"YLL033W",230,8.2,14.34,FALSE,"Chr-3",0.69
"YLL034C",837,49.34,72.91,TRUE,"Chr-16",0.74
"YLL035W",632,15.25,29.36,TRUE,"Chr-4",0.52
"YLL036C",503,28.45,42.56,FALSE,"Chr-15",0.74
"YLL038C",247,34.1,33.67,TRUE,"Chr-9",0.68
"YLL040C",3144,38.44,93,FALSE,"Chr-5",0.58
"YLL041C",266,58.21,46.07,TRUE,"Chr-9",0.58
"YLL043W",669,47.7,80.33,TRUE,"Chr-15",0.8
"YLL048C",1661,58.72,163.26,FALSE,"Chr-4",0.73
"YLL049W",179,16.61,64.61,FALSE,"Chr-13",0.6
"YLL050C",143,2124.77,1340.51,TRUE,"Chr-4",0.67
"YLL051C",712,15.29,50.53,TRUE,"Chr-6",0.68
"YLL054C",843,4.74,16.29,FALSE,"Chr-5",0.53
"YLL055W",531,1.35,11.31,TRUE,"Chr-2",0.76
"YLL058W",575,28.05,32.35,TRUE,"Chr-9",0.77
"YLL061W",583,31.16,53.1,TRUE,"Chr-8",0.76
"YLL062C",324,23.88,27.34,FALSE,"Chr-14",0.65
"YLL063C",474,4.63,7.89,FALSE,"Chr-4",0.73
"YLR001C",862,15.6,28.89,TRUE,"Chr-4",0.79
"YLR002C",663,67.45,70.52,TRUE,"Chr-7",0.57
"YLR003C",291,77.53,81.86,TRUE,"Chr-2",0.73
"YLR005W",461,32.27,40.25,TRUE,"Chr-5",0.8
"YLR006C",712,12.88,28.89,FALSE,"Chr-6",0.6
"YLR007W",336,14.4,35.3,TRUE,"Chr-5",0.61
"YLR008C",168,121.25,115.71,FALSE,"Chr-14",0.5
"YLR009W",199,295.66,198.84,FALSE,"Chr-2",0.57
"YLR011W",191,24.8,18.81,TRUE,"Chr-10",0.67
"YLR014C",904,3.61,16.44,FALSE,"Chr-3",0.67
"YLR015W",505,19.96,25.92,FALSE,"Chr-12",0.73
"YLR016C",204,24.23,37.64,TRUE,"Chr-9",0.67
"YLR017W",337,139.98,136.55,FALSE,"Chr-11",0.65
"YLR018C",299,46.81,69.46,FALSE,"Chr-10",0.63
"YLR019W",397,34.79,62.36,FALSE,"Chr-6",0.73
"YLR020C",538,25.89,54.06,TRUE,"Chr-1",0.79
"YLR021W",179,46.44,60.76,FALSE,"Chr-2",0.64
"YLR022C",250,91.25,89.18,TRUE,"Chr-4",0.65
"YLR023C",543,20.3,55.02,FALSE,"Chr-4",0.73
"YLR024C",1872,7.97,34.97,TRUE,"Chr-13",0.72
"YLR025W",240,147.43,63.77,TRUE,"Chr-7",0.74
"YLR026C",340,69.84,53.85,TRUE,"Chr-6",0.65
"YLR027C",418,516.96,488.74,TRUE,"Chr-8",0.72
"YLR028C",591,183.51,209.27,TRUE,"Chr-8",0.77
"YLR032W",1169,15.96,26.99,FALSE,"Chr-8",0.73
"YLR033W",502,45.82,55,TRUE,"Chr-3",0.66
"YLR034C",473,86.02,109.46,TRUE,"Chr-4",0.69
"YLR035C",695,4.97,13.95,TRUE,"Chr-14",0.66
"YLR036C",203,27.45,35.88,FALSE,"Chr-8",0.72
"YLR038C",83,260.49,111.48,FALSE,"Chr-11",0.63
"YLR039C",1056,17.22,36.35,FALSE,"Chr-11",0.76
"YLR040C",224,27.45,16.26,FALSE,"Chr-8",0.74
